episode,rewards_total
1,-26.600240179203727
2,-26.380219311888975
3,-26.499445307657272
4,-21.014500527457727
5,-34.48501698781591
6,-24.23104553950761
7,-27.665532089553253
8,-5.991729728644899
9,-13.817991689100499
10,-36.30358383020637
11,-26.91537125425974
12,-60.495802621429625
13,-33.20513593883072
14,-43.970641748120045
15,-96.36595242423587
16,-127.55352261589263
17,-140.33873658357982
18,-77.54438281649095
19,-23.585475605389977
20,-19.971657490248198
21,-21.67831081686138
22,-26.25826086245623
23,-27.439880352031803
24,-21.781465728707122
25,-29.057814756381788
26,-25.969605392369985
27,-12.669589344528674
28,-23.537861117989053
29,-21.213758036465187
30,-24.95228254950768
31,-28.270262579595766
32,-6.198913561008167
33,-12.611506828649185
34,-10.333874580310367
35,-16.246362944488624
36,-17.961936950465237
37,-18.549828906814135
38,-10.994152147508013
39,-17.97281273341094
40,-37.04831857592398
41,-39.56218786414453
42,-45.89807754380628
43,-52.239468323471115
44,-47.14411369819065
45,-42.55528644049394
46,-50.63745072983757
47,-46.51153608716406
48,-51.48005139240831
49,-31.82887484010973
50,-44.77709054380651
51,-2.9555305061651618
52,-12.619190146550274
53,-39.89678118551958
54,-45.62507656867694
55,-26.977088806744234
56,-19.34433082386723
57,-6.442121809059026
58,-6.704640739392528
59,-8.920161833529976
60,-2.6915431503307996
61,-16.675856864381064
62,-20.01296864731196
63,-23.24432574506308
64,-16.033316382394972
65,-40.890132624863995
66,-11.027439803228354
67,-7.523758236165718
68,-35.040835621805925
69,-11.21143400125191
70,-49.23545504106582
71,-871.6665877280957
72,-17.167464524626894
73,-34.41956195024204
74,-180.55808242548036
75,-238.75109724556398
76,-621.4504972979801
77,-481.30209509741115
78,-41.57423218965955
79,-129.61839051504165
80,-995.7738119406164
81,-8.849703779606305
82,-8.904223720406778
83,-9.389274663553412
84,-9.092965863452758
85,-8.86561798729621
86,-9.406581162559137
87,-9.215894151087147
88,-31.996262912805886
89,-524.9250095705422
90,-694.1009646366894
91,-410.59343559126074
92,-578.159367707169
93,-581.4714733932859
94,-530.9074577821655
95,-450.36253838896346
96,-479.75991851050344
97,-590.4058164802144
98,-444.1069400950319
99,-452.18487019682925
100,-479.918538733983
101,-501.4907150650597
102,-459.24072618510274
103,-452.8123781835973
104,-22.573958678904244
105,-22.886211455153273
106,-23.287496363737706
107,-22.46056502546383
108,-23.239259732099384
109,-22.949040474076728
110,-21.58689658371878
111,-22.4798972953247
112,-23.040079023998945
113,-22.93670152433608
114,-22.722699771218803
115,-23.484025507147543
116,-23.64951311726268
117,-23.39856170250807
118,-21.963473836477206
119,-23.06978595158435
120,-22.99522576596184
121,-23.188163598020154
122,-22.8245667291326
123,-24.023562327890573
124,-22.78474022971571
125,-23.078841738965284
126,-22.65966031176319
127,-22.041002171618757
128,-22.5056913367213
129,-23.77646660861179
130,-23.03379956350187
131,-23.348382462608335
132,-22.460791998723735
133,-22.817925128284255
134,-22.021024618109568
135,-23.387159919154417
136,-21.449668016810392
137,-21.96012386250372
138,-22.323246037651426
139,-22.59340803748462
140,-23.24631522703685
141,-22.196704072666755
142,-22.614923775576436
143,-23.012308893896705
144,-23.452563790356997
145,-22.51016390736516
146,-23.330872621692265
147,-23.46916639641939
148,-21.86870293366748
149,-22.805901225215827
150,-23.004441575820273
151,-22.855644924071
152,-22.607641383328136
153,-23.676454945479463
154,-23.022174536338692
155,-22.527698560274338
156,-22.939305962421965
157,-22.238594717181375
158,-23.016542191893606
159,-22.452534253573372
160,-23.03511264695048
161,-23.62321533014621
162,-22.108542020119554
163,-23.17564809506217
164,-23.146087082590213
165,-22.760369495822538
166,-23.22163842045284
167,-23.36988060233095
168,-23.081103470589035
169,-22.85098546623135
170,-23.538379969812198
171,-22.937677116990038
172,-22.444593480316044
173,-22.11047463438137
174,-23.551716193343196
175,-22.86579635924084
176,-23.176360759750303
177,-22.77310873679774
178,-22.52244709994855
179,-23.23068385531564
180,-22.83377737548676
181,-22.82486413576848
182,-23.49252435873541
183,-22.756307699593737
184,-23.201693074815772
185,-22.62214777286499
186,-22.878770688696004
187,-22.82886146664495
188,-22.701365132629704
189,-22.546626466472098
190,-23.074629768301797
191,-22.14225880965014
192,-23.380056328543155
193,-21.80688952465451
194,-22.500668015654938
195,-22.74903700533077
196,-23.607431483125257
197,-23.444069372920186
198,-21.702451548687247
199,-23.317969746218893
200,-22.23085689768557
201,-22.322936963860695
202,-23.139846307673324
203,-22.717922310422146
204,-22.730514570316657
205,-21.258320674400863
206,-22.321299462653904
207,-22.011619405745364
208,-22.664497850095973
209,-23.689460437811512
210,-22.768607854579194
211,-21.805477458931936
212,-22.56437208121678
213,-23.03784612619485
214,-22.67211128812238
215,-22.836334777390626
216,-24.233439421375543
217,-21.753974146008296
218,-22.17915984346779
219,-22.36307407656061
220,-22.399146878217937
221,-20.98220954736028
222,-22.348086061181853
223,-22.727075297325705
